Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
UntilNoChange,1000,Integer,10326657,,,,,,,,,
UntilNoChange,1000,Integer,10321419,,,,,,,,,
UntilNoChange,1000,Integer,10377568,,,,,,,,,
UntilNoChange,1000,Integer,10240013,,,,,,,,,
UntilNoChange,1000,Integer,10365246,,,,,,,,,
UntilNoChange,1000,Integer,10375826,,,,,,,,,
UntilNoChange,1000,Integer,10165553,,,,,,,,,
UntilNoChange,1000,Integer,10249429,,,,,,,,,
UntilNoChange,1000,Integer,10361446,,,,,,,,,
UntilNoChange,1000,Integer,10124303,,,,,,,,,
UntilNoChange,1000,Integer,10430056,,,,,,,,,
UntilNoChange,1000,Integer,10283012,,,,,,,,,
UntilNoChange,1000,Integer,10231879,,,,,,,,,
UntilNoChange,1000,Integer,10277923,,,,,,,,,
UntilNoChange,1000,Integer,10567700,,,,,,,,,
UntilNoChange,1000,Integer,10272394,,,,,,,,,
UntilNoChange,1000,Integer,9940366,,,,,,,,,
UntilNoChange,1000,Integer,10403859,,,,,,,,,
UntilNoChange,1000,Integer,10107914,,,,,,,,,
UntilNoChange,1000,Integer,10546073,,,,,,,,,
UntilNoChange,1000,Integer,10041573,,,,,,,,,
UntilNoChange,1000,Integer,10272041,,,,,,,,,
UntilNoChange,1000,Integer,10415580,,,,,,,,,
UntilNoChange,1000,Integer,9848491,,,,,,,,,
UntilNoChange,1000,Integer,10488336,,,,,,,,,
UntilNoChange,1000,Integer,10393807,,,,,,,,,
UntilNoChange,1000,Integer,9714620,,,,,,,,,
UntilNoChange,1000,Integer,10005219,,,,,,,,,
UntilNoChange,1000,Integer,9918176,,,,,,,,,
UntilNoChange,1000,Integer,10421353,,,,,,,,,
UntilNoChange,1000,Integer,10626821,,,,,,,,,
UntilNoChange,1000,Integer,10373380,,,,,,,,,
UntilNoChange,1000,Integer,10174929,,,,,,,,,
UntilNoChange,1000,Integer,10158958,,,,,,,,,
UntilNoChange,1000,Integer,10377941,,,,,,,,,
UntilNoChange,1000,Integer,10376730,,,,,,,,,
UntilNoChange,1000,Integer,9941210,,,,,,,,,
UntilNoChange,1000,Integer,10423431,,,,,,,,,
UntilNoChange,1000,Integer,10089311,,,,,,,,,
UntilNoChange,1000,Integer,9809820,,,,,,,,,
