Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
UntilNoChange,1000,Integer,9559926,,,,,,,,,
UntilNoChange,1000,Integer,9557942,,,,,,,,,
UntilNoChange,1000,Integer,9559209,,,,,,,,,
UntilNoChange,1000,Integer,9558067,,,,,,,,,
UntilNoChange,1000,Integer,9555332,,,,,,,,,
UntilNoChange,1000,Integer,9559597,,,,,,,,,
UntilNoChange,1000,Integer,9566905,,,,,,,,,
UntilNoChange,1000,Integer,9559834,,,,,,,,,
UntilNoChange,1000,Integer,9573208,,,,,,,,,
UntilNoChange,1000,Integer,9572866,,,,,,,,,
UntilNoChange,1000,Integer,9566186,,,,,,,,,
UntilNoChange,1000,Integer,9587308,,,,,,,,,
UntilNoChange,1000,Integer,9583757,,,,,,,,,
UntilNoChange,1000,Integer,9576167,,,,,,,,,
UntilNoChange,1000,Integer,9560050,,,,,,,,,
UntilNoChange,1000,Integer,9564237,,,,,,,,,
UntilNoChange,1000,Integer,9570892,,,,,,,,,
UntilNoChange,1000,Integer,9570754,,,,,,,,,
UntilNoChange,1000,Integer,9730870,,,,,,,,,
UntilNoChange,1000,Integer,9551907,,,,,,,,,
UntilNoChange,1000,Integer,9554813,,,,,,,,,
UntilNoChange,1000,Integer,19513053,,,,,,,,,
UntilNoChange,1000,Integer,31540566,,,,,,,,,
