Algorithm,Size,Type,Time (nanoseconds)
UntileNoChange,5000,Integer,230090368
UntileNoChange,5000,Integer,232241625
UntileNoChange,5000,Integer,230783884
UntileNoChange,5000,Integer,234022654
UntileNoChange,5000,Integer,231479922
UntileNoChange,5000,Integer,229332750
UntileNoChange,5000,Integer,231836133
UntileNoChange,5000,Integer,265682202
UntileNoChange,5000,Integer,232661737
UntileNoChange,5000,Integer,228934784
UntileNoChange,5000,Integer,232127061
UntileNoChange,5000,Integer,236226459
UntileNoChange,5000,Integer,268810427
UntileNoChange,5000,Integer,263796907
UntileNoChange,5000,Integer,260649421
UntileNoChange,5000,Integer,275274466
UntileNoChange,5000,Integer,239723554
UntileNoChange,5000,Integer,242409334
UntileNoChange,5000,Integer,234388255
UntileNoChange,5000,Integer,234273666
UntileNoChange,5000,Integer,234311474
UntileNoChange,5000,Integer,229071844
UntileNoChange,5000,Integer,228727476
UntileNoChange,5000,Integer,273670884
UntileNoChange,5000,Integer,237987742
UntileNoChange,5000,Integer,236857115
UntileNoChange,5000,Integer,240129167
UntileNoChange,5000,Integer,238257403
UntileNoChange,5000,Integer,236333538
UntileNoChange,5000,Integer,239249286
UntileNoChange,5000,Integer,264245240
UntileNoChange,5000,Integer,270547171
UntileNoChange,5000,Integer,258840182
UntileNoChange,5000,Integer,241604847
UntileNoChange,5000,Integer,238965548
UntileNoChange,5000,Integer,240357060
UntileNoChange,5000,Integer,258094460
UntileNoChange,5000,Integer,272163379
UntileNoChange,5000,Integer,247853682
UntileNoChange,5000,Integer,260178186
UntileNoChange,5000,Integer,266315146
UntileNoChange,5000,Integer,255974170
UntileNoChange,5000,Integer,261877533
UntileNoChange,5000,Integer,252405096
UntileNoChange,5000,Integer,259553724
UntileNoChange,5000,Integer,261656596
UntileNoChange,5000,Integer,262508331
UntileNoChange,5000,Integer,283919590
UntileNoChange,5000,Integer,264315909
UntileNoChange,5000,Integer,263268677
UntileNoChange,5000,Integer,260590523
UntileNoChange,5000,Integer,271850594
UntileNoChange,5000,Integer,277877434
UntileNoChange,5000,Integer,249164453
UntileNoChange,5000,Integer,254466127
UntileNoChange,5000,Integer,256816569
UntileNoChange,5000,Integer,269573896
UntileNoChange,5000,Integer,260205866
UntileNoChange,5000,Integer,243532151
UntileNoChange,5000,Integer,261276568
UntileNoChange,5000,Integer,265210285
UntileNoChange,5000,Integer,266464605
UntileNoChange,5000,Integer,271058274
UntileNoChange,5000,Integer,240129504
